,age_band_of_driver,vehicle_type,age_of_vehicle,weather_conditions,day_of_week,road_surface_conditions,light_conditions,sex_of_driver,season,speed_limit,accident_seriousness
10769,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Not Serious
10770,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Winter,60,Not Serious
10771,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Rainy,70,Not Serious
10772,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Rainy,70,Not Serious
10773,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Rainy,60,Not Serious
10774,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Summer,60,Not Serious
10775,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Not Serious
10776,16-25,Car,5,Fine no high winds,Friday,Dry,Darkness - no lighting,Male,Summer,60,Not Serious
10777,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Winter,60,Not Serious
10778,16-25,Car,5,Fine no high winds,Thursday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10779,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Darkness - no lighting,Female,Autumn,60,Not Serious
10780,16-25,Car,5,Fine no high winds,Thursday,Dry,Darkness - no lighting,Female,Winter,30,Not Serious
10781,16-25,Car,5,Fine no high winds,Tuesday,Dry,Darkness - no lighting,Female,Summer,40,Not Serious
10782,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Darkness - no lighting,Female,Rainy,30,Not Serious
10783,16-25,Car,5,Fine no high winds,Tuesday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10784,16-25,Car,5,Fine no high winds,Thursday,Dry,Darkness - no lighting,Female,Rainy,30,Not Serious
10785,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Darkness - no lighting,Female,Autumn,30,Not Serious
10786,16-25,Car,5,Fine no high winds,Tuesday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10787,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10788,16-25,Car,5,Fine no high winds,Tuesday,Dry,Darkness - no lighting,Female,Rainy,40,Not Serious
10789,16-25,Car,5,Fine no high winds,Thursday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10790,16-25,Car,5,Fine no high winds,Saturday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10791,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Darkness - no lighting,Female,Rainy,40,Not Serious
10792,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Female,Autumn,60,Not Serious
10793,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Female,Rainy,60,Not Serious
10794,16-25,Car,5,Mud,Tuesday,Wet or damp,Darkness - no lighting,Male,Summer,30,Not Serious
10795,16-25,Car,5,Mud,Tuesday,Wet or damp,Darkness - no lighting,Male,Autumn,30,Not Serious
10796,16-25,Car,5,Mud,Wednesday,Wet or damp,Darkness - no lighting,Male,Winter,40,Not Serious
10797,16-25,Car,5,Mud,Monday,Snow,Darkness - no lighting,Female,Winter,40,Not Serious
10798,16-25,Car,5,Mud,Monday,Frost or ice,Darkness - no lighting,Female,Winter,40,Not Serious
10799,16-25,Car,5,Mud,Monday,Frost or ice,Darkness - no lighting,Female,Winter,40,Not Serious
10800,16-25,Car,5,Mud,Monday,Snow,Darkness - no lighting,Female,Winter,40,Not Serious
10801,16-25,Motorcycle,5,Raining no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Not Serious
10802,16-25,Motorcycle,5,Raining no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Summer,60,Not Serious
10803,16-25,Car,5,Raining no high winds,Thursday,Wet or damp,Darkness - no lighting,Male,Rainy,50,Not Serious
10804,16-25,Car,5,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Rainy,30,Not Serious
10805,16-25,Car,5,Raining no high winds,Saturday,Wet or damp,Darkness - no lighting,Male,Summer,60,Not Serious
10806,16-25,Motorcycle,5,Raining no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Not Serious
10807,16-25,Motorcycle,5,Raining no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Not Serious
10808,16-25,Car,5,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Rainy,30,Not Serious
10809,16-25,Car,5,Raining no high winds,Thursday,Wet or damp,Darkness - no lighting,Male,Rainy,50,Not Serious
10810,16-25,Car,5,Raining no high winds,Saturday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Not Serious
10811,16-25,Car,5,Raining no high winds,Saturday,Wet or damp,Darkness - no lighting,Male,Autumn,70,Not Serious
10812,16-25,Car,5,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Rainy,40,Not Serious
10813,16-25,Car,5,Raining no high winds,Friday,Frost or ice,Darkness - no lighting,Female,Autumn,60,Not Serious
10814,16-25,Car,5,Raining no high winds,Friday,Frost or ice,Darkness - no lighting,Female,Winter,60,Not Serious
10815,16-25,Car,5,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Female,Rainy,60,Not Serious
10816,16-25,Car,5,Snowing no high winds,Tuesday,Frost or ice,Darkness - no lighting,Male,Winter,50,Not Serious
10817,16-25,Car,5,Snowing no high winds,Friday,Snow,Darkness - no lighting,Male,Winter,60,Not Serious
10818,16-25,Car,5,Snowing no high winds,Friday,Snow,Darkness - no lighting,Female,Rainy,60,Not Serious
10819,16-25,Car,5,Snowing no high winds,Friday,Snow,Darkness - no lighting,Female,Winter,60,Not Serious
10820,16-25,Motorcycle,5,Fine + high winds,Monday,Dry,Daylight,Male,Rainy,60,Not Serious
10821,16-25,Car,5,Fine + high winds,Tuesday,Dry,Daylight,Male,Autumn,60,Not Serious
10822,16-25,Car,5,Fine + high winds,Wednesday,Dry,Daylight,Female,Rainy,30,Not Serious
10823,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,40,Not Serious
10824,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Daylight,Male,Summer,60,Not Serious
10825,16-25,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,40,Not Serious
10826,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Not Serious
10827,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Autumn,30,Not Serious
10828,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Winter,60,Not Serious
10829,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Not Serious
10830,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Autumn,30,Not Serious
10831,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,30,Not Serious
10832,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,50,Not Serious
10833,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,60,Not Serious
10834,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10835,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,60,Not Serious
10836,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10837,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Not Serious
10838,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10839,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,30,Not Serious
10840,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,30,Not Serious
10841,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Not Serious
10842,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Not Serious
10843,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10844,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Winter,60,Not Serious
10845,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Not Serious
10846,16-25,Motorcycle,5,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10847,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10848,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Autumn,30,Not Serious
10849,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,50,Not Serious
10850,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Winter,60,Not Serious
10851,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,60,Not Serious
10852,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,30,Not Serious
10853,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,50,Not Serious
10854,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Not Serious
10855,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,40,Not Serious
10856,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,70,Not Serious
10857,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10858,16-25,Car,5,Fine no high winds,Thursday,Frost or ice,Daylight,Male,Rainy,30,Not Serious
10859,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10860,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,20,Not Serious
10861,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10862,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10863,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Not Serious
10864,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10865,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,40,Not Serious
10866,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10867,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10868,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Rainy,30,Not Serious
10869,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Autumn,30,Not Serious
10870,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,50,Not Serious
10871,16-25,Motorcycle,5,Fine no high winds,Saturday,Frost or ice,Daylight,Male,Rainy,60,Not Serious
10872,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10873,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Winter,60,Not Serious
10874,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10875,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,60,Not Serious
10876,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10877,16-25,Car,5,Fine no high winds,Monday,Frost or ice,Daylight,Male,Rainy,60,Not Serious
10878,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Not Serious
10879,16-25,Motorcycle,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10880,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10881,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Not Serious
10882,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10883,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Autumn,30,Not Serious
10884,16-25,Car,5,Fine no high winds,Monday,Wet or damp,Daylight,Male,Rainy,30,Not Serious
10885,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10886,16-25,Goods Vehicle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,30,Not Serious
10887,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,50,Not Serious
10888,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,70,Not Serious
10889,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Not Serious
10890,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10891,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,60,Not Serious
10892,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,50,Not Serious
10893,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10894,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,60,Not Serious
10895,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Not Serious
10896,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Daylight,Male,Rainy,60,Not Serious
10897,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Winter,60,Not Serious
10898,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10899,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10900,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10901,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10902,16-25,Motorcycle,5,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10903,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,60,Not Serious
10904,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10905,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,30,Not Serious
10906,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10907,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Autumn,60,Not Serious
10908,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,30,Not Serious
10909,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,40,Not Serious
10910,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10911,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,60,Not Serious
10912,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10913,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,50,Not Serious
10914,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,30,Not Serious
10915,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,50,Not Serious
10916,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,40,Not Serious
10917,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,40,Not Serious
10918,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Winter,30,Not Serious
10919,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10920,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10921,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,20,Not Serious
10922,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10923,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10924,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Autumn,30,Not Serious
10925,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,30,Not Serious
10926,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Winter,30,Not Serious
10927,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,30,Not Serious
10928,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10929,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,30,Not Serious
10930,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10931,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,60,Not Serious
10932,16-25,Car,5,Fine no high winds,Thursday,Frost or ice,Daylight,Male,Summer,30,Not Serious
10933,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Not Serious
10934,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Not Serious
10935,16-25,Motorcycle,5,Fine no high winds,Saturday,Frost or ice,Daylight,Male,Winter,60,Not Serious
10936,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,60,Not Serious
10937,16-25,Car,5,Fine no high winds,Monday,Frost or ice,Daylight,Male,Winter,60,Not Serious
10938,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,30,Not Serious
10939,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10940,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,60,Not Serious
10941,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Not Serious
10942,16-25,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,40,Not Serious
10943,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,50,Not Serious
10944,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,60,Not Serious
10945,16-25,Car,5,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10946,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,60,Not Serious
10947,16-25,Motorcycle,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10948,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
10949,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Not Serious
10950,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10951,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Autumn,30,Not Serious
10952,16-25,Car,5,Fine no high winds,Monday,Wet or damp,Daylight,Male,Rainy,30,Not Serious
10953,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10954,16-25,Goods Vehicle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,30,Not Serious
10955,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,50,Not Serious
10956,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10957,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,40,Not Serious
10958,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Not Serious
10959,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10960,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,60,Not Serious
10961,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,50,Not Serious
10962,16-25,Car,5,Fine no high winds,Wednesday,Frost or ice,Daylight,Male,Winter,30,Not Serious
10963,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Winter,50,Not Serious
10964,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,30,Not Serious
10965,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Not Serious
10966,16-25,Car,5,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10967,16-25,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Not Serious
10968,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,60,Not Serious
10969,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,70,Not Serious
10970,16-25,Car,5,Fine no high winds,Wednesday,Frost or ice,Daylight,Male,Winter,30,Not Serious
10971,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,40,Not Serious
10972,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10973,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Autumn,30,Not Serious
10974,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10975,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,50,Not Serious
10976,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,30,Not Serious
10977,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Autumn,30,Not Serious
10978,16-25,Motorcycle,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Not Serious
10979,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Not Serious
10980,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Autumn,30,Not Serious
10981,16-25,Car,5,Fine no high winds,Monday,Wet or damp,Daylight,Male,Summer,30,Not Serious
10982,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,30,Not Serious
10983,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,40,Not Serious
10984,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Not Serious
10985,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Winter,40,Not Serious
10986,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Not Serious
10987,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Not Serious
10988,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,40,Not Serious
10989,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,70,Not Serious
10990,16-25,Goods Vehicle,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Not Serious
10991,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Winter,30,Not Serious
10992,16-25,Car,5,Fine no high winds,Monday,Snow,Daylight,Male,Winter,30,Not Serious
10993,16-25,Car,5,Fine no high winds,Monday,Frost or ice,Daylight,Male,Winter,30,Not Serious
10994,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,30,Not Serious
10995,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,30,Not Serious
10996,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10997,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
10998,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Not Serious
10999,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,70,Not Serious
11000,16-25,Car,5,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Rainy,30,Not Serious
11001,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,60,Not Serious
11002,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Not Serious
11003,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,50,Not Serious
11004,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,70,Not Serious
11005,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Rainy,60,Not Serious
11006,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Daylight,Male,Rainy,60,Not Serious
11007,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Summer,60,Not Serious
11008,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Daylight,Male,Summer,30,Not Serious
11009,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,30,Not Serious
11010,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Not Serious
11011,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,50,Not Serious
11012,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,50,Not Serious
11013,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Not Serious
11014,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,60,Not Serious
11015,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,60,Not Serious
11016,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,60,Not Serious
11017,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Not Serious
11018,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,40,Not Serious
11019,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Not Serious
11020,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Daylight,Male,Summer,60,Not Serious
11021,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,60,Not Serious
11022,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,50,Not Serious
11023,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Not Serious
11024,16-25,Car,5,Fine no high winds,Sunday,Frost or ice,Daylight,Male,Winter,60,Not Serious
11025,16-25,Motorcycle,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,30,Not Serious
11026,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Daylight,Female,Autumn,40,Not Serious
11027,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Female,Rainy,40,Not Serious
11028,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Female,Rainy,30,Not Serious
11029,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Daylight,Female,Rainy,40,Not Serious
11030,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Female,Rainy,60,Not Serious
11031,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Female,Rainy,50,Not Serious
11032,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Female,Summer,40,Not Serious
11033,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Female,Rainy,30,Not Serious
11034,16-25,Car,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Female,Summer,40,Not Serious
11035,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Female,Winter,60,Not Serious
11036,16-25,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Female,Summer,60,Not Serious
11037,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Female,Autumn,70,Not Serious
